merge_path	call_type	sample_id	description	strand	window	percent	convert_type	file_type
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC18_PLASMIDPFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB_Pos_20_0.55_CG.PEAK.genome.merge	high	18	PFC9_NTBSPQI_13_DESCLINEARBSAI_NT_NICKNTBSPQI13_COSSB	Pos	20	0.55	CG	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC65_PLASMIDPFC53_T3TERMSHORT_VR07_DESCLINEARSCAI_TX_Neg_20_0.55_GH.PEAK.genome.merge	high	65	PFC53_T3TERMSHORT_VR07_DESCLINEARSCAI_TX	Neg	20	0.55	GH	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC88_PLASMIDT7INIT_VR27_DESCSUPERCOIL_TX_RH1_Neg_20_0.55_CG.PEAK.genome.merge	high	88	T7INIT_VR27_DESCSUPERCOIL_TX_RH1	Neg	20	0.55	CG	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC67_PLASMIDPFC8_TACINIT_VR04_DESCSUPERCOIL_NT_Neg_20_0.55_GH.PEAK.genome.merge	high	67	PFC8_TACINIT_VR04_DESCSUPERCOIL_NT	Neg	20	0.55	GH	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC71_PLASMIDPFC8_TACINIT_VR13_DESCSUPERCOIL_TX_COSSB_Pos_20_0.55_CH.PEAK.genome.merge	high	71	PFC8_TACINIT_VR13_DESCSUPERCOIL_TX_COSSB	Pos	20	0.55	CH	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC62_PLASMIDPFC53_T3TERMSHORT_VR12_DESCSUPERCOIL_TX_Pos_20_0.55_GH.PEAK.genome.merge	high	62	PFC53_T3TERMSHORT_VR12_DESCSUPERCOIL_TX	Pos	20	0.55	GH	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC08_PLASMIDPFC9_NTBSPQI_11_DESCLINEARBSAI_TX_RH1_Neg_20_0.55_GH.PEAK.genome.merge	high	08	PFC9_NTBSPQI_11_DESCLINEARBSAI_TX_RH1	Neg	20	0.55	GH	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC30_PLASMIDVR20F_2MED2_DESCSUPERCOIL_NT_Neg_20_0.55_CH.PEAK.genome.merge	high	30	VR20F_2MED2_DESCSUPERCOIL_NT	Neg	20	0.55	CH	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC64_PLASMIDPFC53_T3TERMSHORT_VR08_DESCLINEARSCAI_NT_Pos_20_0.55_CH.PEAK.genome.merge	high	64	PFC53_T3TERMSHORT_VR08_DESCLINEARSCAI_NT	Pos	20	0.55	CH	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC90_PLASMIDT7INIT_VR27_DESCLINEARBSAI_TX_RH1_Neg_20_0.55_GC.PEAK.genome.merge	high	90	T7INIT_VR27_DESCLINEARBSAI_TX_RH1	Neg	20	0.55	GC	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC64_PLASMIDPFC53_T3TERMSHORT_VR14_DESCLINEARSCAI_NT_Pos_20_0.55_CH.PEAK.genome.merge	high	64	PFC53_T3TERMSHORT_VR14_DESCLINEARSCAI_NT	Pos	20	0.55	CH	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC71_PLASMIDPFC8_TACINIT_VR19_DESCSUPERCOIL_TX_COSSB_FIXED_Pos_20_0.55_CH.PEAK.genome.merge	high	71	PFC8_TACINIT_VR19_DESCSUPERCOIL_TX_COSSB_FIXED	Pos	20	0.55	CH	PEAK
../resources/mergedFiles/PBEH2_bismark_bt2.bam_genePBEH2_BCBC91_PLASMIDT7INIT_VR12_DESCSUPERCOIL_NT_Neg_20_0.55_GC.PEAK.genome.merge	high	91	T7INIT_VR12_DESCSUPERCOIL_NT	Neg	20	0.55	GC	PEAK
